Date,Open,High,Low,Close,Adj Close,Volume
2015-12-10,351.799988,354.700012,348.549988,350.950012,297.963867,29934226
2015-12-11,349.500000,351.250000,337.100006,338.000000,286.969025,32322873
2015-12-14,338.450012,340.000000,328.799988,329.299988,279.582550,39295227
2015-12-15,330.500000,340.250000,330.500000,337.700012,286.714386,40856201
2015-12-16,340.000000,346.649994,339.399994,340.200012,288.836914,34985075
2015-12-17,345.200012,345.799988,339.700012,340.350006,288.964233,30541924
2015-12-18,338.049988,345.299988,336.350006,339.299988,288.072784,44715167
2015-12-21,339.500000,345.000000,335.200012,335.200012,284.591766,27116022
2015-12-22,342.000000,345.299988,338.399994,344.950012,292.869720,24472063
2015-12-23,348.100006,360.850006,347.950012,360.399994,305.987061,34897170
2015-12-24,363.899994,366.299988,362.950012,365.950012,310.699158,7161881
2015-12-29,365.950012,365.950012,356.850006,360.750000,306.284271,25250417
2015-12-30,358.000000,358.000000,353.899994,355.149994,301.529755,17521298
2015-12-31,355.000000,356.350006,352.605988,354.000000,300.553375,6942548
2016-01-04,354.000000,354.000000,343.799988,347.549988,295.077209,30115031
2016-01-05,349.000000,352.500000,343.500000,348.149994,295.586578,23383274
2016-01-06,350.399994,352.019012,339.100006,343.450012,291.596191,28972711
2016-01-07,337.000000,339.399994,324.600006,337.700012,286.714386,59009866
2016-01-08,339.700012,339.713013,328.700012,328.700012,279.073181,38890589
2016-01-11,329.049988,336.000000,327.350006,328.049988,278.521271,36482011
2016-01-12,328.000000,336.899994,322.399994,323.100006,274.318604,46002966
2016-01-13,327.100006,342.100006,325.000000,335.850006,285.143646,55594231
2016-01-14,332.200012,353.100006,330.350006,347.700012,295.204559,61223405
2016-01-15,349.299988,349.649994,335.549988,338.149994,287.096375,53838443
2016-01-18,336.649994,347.350006,333.100006,340.500000,289.091553,41699867
2016-01-19,346.299988,351.450012,339.649994,342.450012,290.747162,50643592
2016-01-20,333.700012,336.200012,325.100006,328.149994,278.606232,63283399
2016-01-21,328.600006,344.200012,326.049988,342.250000,290.577362,53447768
2016-01-22,350.850006,357.799988,347.450012,352.700012,299.449646,48161137
2016-01-25,352.799988,353.428009,343.049988,350.149994,297.284668,47281529
2016-01-26,342.200012,357.799988,338.000000,356.500000,302.675903,42093229
2016-01-27,356.000000,362.899994,349.946014,362.899994,308.109650,41412899
2016-01-28,362.500000,378.799988,360.850006,368.450012,312.821777,62408952
2016-01-29,376.049988,377.799988,366.899994,376.100006,319.316742,56502071
2016-02-01,379.450012,381.799988,359.700012,366.950012,311.548218,54869714
2016-02-02,348.100006,349.799988,330.100006,335.100006,284.506866,83735685
2016-02-03,332.350006,337.100006,324.549988,332.350006,282.172058,54849782
2016-02-04,341.000000,354.399994,338.200012,350.850006,297.878967,59332758
2016-02-05,350.000000,356.549988,345.399994,350.649994,297.709106,34045330
2016-02-08,352.899994,353.399994,337.850006,343.899994,291.978241,36702379
2016-02-09,344.500000,347.700012,334.450012,334.450012,283.955017,44362725
2016-02-10,335.200012,337.700012,326.399994,330.100006,280.261780,40080067
2016-02-11,319.700012,321.087006,309.100006,310.250000,269.125946,48991591
2016-02-12,317.000000,332.833008,316.105988,332.500000,288.426605,56260825
2016-02-15,339.600006,339.850006,331.750000,332.799988,288.686859,36500385
2016-02-16,341.250000,348.250000,334.279999,337.399994,292.677124,54103093
2016-02-17,336.049988,350.950012,335.149994,349.850006,303.476837,53916643
2016-02-18,351.000000,352.299988,310.000000,345.399994,299.616730,43395070
2016-02-19,345.250000,351.000000,341.000000,343.250000,297.751709,24990247
2016-02-22,347.600006,358.899994,347.600006,356.649994,309.375458,20966888
2016-02-23,354.000000,354.600006,344.149994,345.350006,299.573334,39008786
2016-02-24,343.149994,344.049988,332.556000,335.000000,290.595276,52554241
2016-02-25,339.549988,346.485992,336.251007,338.450012,293.587952,36265694
2016-02-26,343.299988,351.500000,341.600006,349.549988,303.216644,40426721
2016-02-29,347.000000,351.549988,344.649994,351.450012,304.864807,41325531
2016-03-01,351.000000,355.350006,347.950012,350.649994,304.170807,29134378
2016-03-02,353.000000,353.899994,346.100006,352.899994,306.122589,35522725
2016-03-03,355.000000,364.700012,352.382996,362.000000,314.016388,53825911
2016-03-04,365.000000,371.154999,360.899994,367.899994,319.134308,36800787
2016-03-07,365.049988,368.350006,355.750000,365.549988,317.095764,48195426
2016-03-08,363.899994,364.450012,351.149994,354.200012,307.250305,45587032
2016-03-09,350.799988,357.450012,350.450012,356.000000,308.811676,41266100
2016-03-10,354.950012,356.649994,343.149994,343.200012,297.708374,44584386
2016-03-11,349.000000,355.799988,344.799988,348.399994,302.219086,36637371
2016-03-14,349.450012,353.100006,335.618988,345.450012,299.660156,34796869
2016-03-15,342.000000,344.350006,339.899994,342.000000,296.667389,32097540
2016-03-16,346.000000,354.450012,344.299988,350.100006,303.693756,36317190
2016-03-17,355.200012,360.399994,342.199005,359.600006,311.934479,38711844
2016-03-18,359.399994,362.549988,356.950012,357.000000,309.679138,49403019
2016-03-21,354.950012,360.649994,352.500000,356.200012,308.985199,24875428
2016-03-22,357.000000,362.200012,354.850006,360.750000,312.932037,33346693
2016-03-23,360.200012,361.600006,353.899994,356.100006,308.898438,24272908
2016-03-24,353.299988,355.250000,347.549988,353.350006,306.512909,28192894
2016-03-29,353.350006,357.274994,343.950012,345.799988,299.963715,33700933
2016-03-30,348.299988,360.600006,348.299988,355.549988,308.421295,39361914
2016-03-31,354.049988,356.921997,350.049988,350.149994,303.737122,34229740
2016-04-01,346.399994,352.209991,338.186005,343.799988,298.228760,42251502
2016-04-04,342.899994,348.600006,341.899994,344.700012,299.009521,24796730
2016-04-05,340.500000,346.700012,335.075012,337.450012,292.720520,41790842
2016-04-06,340.549988,341.850006,335.500000,339.549988,294.542145,31487745
2016-04-07,341.149994,344.000000,337.893005,339.299988,294.325256,28450651
2016-04-08,342.850006,350.899994,342.730988,350.350006,303.910614,31757227
2016-04-11,351.299988,353.700012,348.549988,351.850006,305.211792,25610633
2016-04-12,352.000000,358.399994,349.799988,356.950012,309.635773,30229028
2016-04-13,362.000000,367.399994,361.312988,365.450012,317.009033,48865879
2016-04-14,365.450012,365.899994,357.600006,358.549988,311.023682,52638979
2016-04-15,360.000000,360.850006,351.799988,355.950012,308.768341,39306914
2016-04-18,348.950012,358.049988,249.434998,355.799988,308.638184,44648117
2016-04-19,358.750000,364.299988,355.929993,362.950012,314.840485,43078773
2016-04-20,361.000000,364.500000,357.850006,363.649994,315.447662,33218597
2016-04-21,366.100006,369.963989,365.549988,368.600006,319.741516,39745769
2016-04-22,366.299988,368.600006,353.225006,368.299988,319.481293,33896547
2016-04-25,368.500000,368.500000,358.000000,360.350006,312.585144,36308097
2016-04-26,370.000000,380.770996,365.000000,375.899994,326.073914,58643540
2016-04-27,380.000000,384.950012,376.649994,382.450012,331.755707,53069757
2016-04-28,381.100006,388.395996,375.700012,382.299988,331.625580,33233292
2016-04-29,379.000000,380.450012,373.750000,373.750000,324.208893,37805374
2016-05-03,373.750000,377.500000,366.649994,368.399994,319.568024,37091571
2016-05-04,366.200012,369.649994,361.750000,362.549988,314.493469,36826058
2016-05-05,357.899994,365.183014,356.950012,358.350006,316.895874,27373021
2016-05-06,357.000000,362.000000,350.750000,360.799988,319.062439,32566478
2016-05-09,359.613007,370.000000,351.299988,351.500000,310.838318,34145882
2016-05-10,354.450012,359.500000,352.299988,357.549988,316.188446,34589743
2016-05-11,357.000000,362.100006,354.350006,361.200012,319.416229,29343567
2016-05-12,359.299988,367.750000,357.100006,360.100006,318.443451,35253077
2016-05-13,358.200012,363.049988,356.399994,362.500000,320.565826,24476218
2016-05-16,362.500000,367.649994,360.000000,366.000000,323.660919,17121834
2016-05-17,367.200012,370.149994,363.600006,366.299988,323.926208,30223540
2016-05-18,364.700012,367.350006,361.850006,364.600006,322.422882,27195811
2016-05-19,362.200012,362.950012,355.000000,356.000000,314.817719,35801645
2016-05-20,360.950012,363.600006,358.329987,361.500000,319.681488,33847546
2016-05-23,360.549988,362.200012,356.450012,357.500000,316.144226,23353869
2016-05-24,356.149994,359.850006,355.549988,357.799988,316.409515,32425630
2016-05-25,361.899994,366.250000,359.765991,366.000000,323.660919,35938638
2016-05-26,366.899994,369.600006,362.500000,364.450012,322.290222,32779263
2016-05-27,364.649994,364.898010,359.450012,361.950012,320.079468,26723199
2016-05-31,361.950012,362.899994,353.761993,357.250000,315.923157,48291585
2016-06-01,355.149994,357.761993,349.350006,353.600006,312.695374,32082769
2016-06-02,355.450012,358.850006,351.850006,353.100006,312.253265,37693098
2016-06-03,356.799988,362.700012,356.049988,358.549988,317.072723,34736064
2016-06-06,362.700012,369.850006,362.549988,368.399994,325.783325,36138644
2016-06-07,370.200012,374.500000,369.549988,373.250000,330.072296,30310031
2016-06-08,372.700012,378.649994,371.350006,376.549988,332.990479,30819336
2016-06-09,375.500000,376.049988,369.549988,374.149994,330.868134,28616392
2016-06-10,372.600006,373.209015,367.600006,370.750000,327.861481,27089321
